label,period,start,end,rr,session,bos,ltf_lb,htf_lb,trades,long_n,short_n,win_rate,long_wr,short_wr,exp_R,pf,max_dd_R,streak,score,group
2021,2021-01→2021-12,2021-01-01,2021-12-31,2.0,True,True,3,5,1,0,1,100.0,0.0,100.0,2.0,2.0,0.0,0,-999.0,yearly
2022,2022-01→2022-12,2022-01-01,2022-12-31,2.0,True,True,3,5,3,0,3,33.3,0.0,33.3,0.0,1.0,2.0,2,-999.0,yearly
2023,2023-01→2023-12,2023-01-01,2023-12-31,2.0,True,True,3,5,5,2,3,40.0,50.0,33.3,0.2,1.33,2.0,2,0.45,yearly
2024,2024-01→2024-12,2024-01-01,2024-12-31,2.0,True,True,3,5,2,2,0,50.0,50.0,0.0,0.5,2.0,1.0,1,-999.0,yearly
2025-2026,2025-01→2026-03,2025-01-01,2026-03-11,2.0,True,True,3,5,2,2,0,50.0,50.0,0.0,0.627,2.25,1.0,1,-999.0,yearly
FULL,2021-01→2026-03,2021-01-01,2026-03-11,2.0,True,True,3,5,13,6,7,46.2,50.0,42.9,0.404,1.75,2.0,2,1.46,yearly
RR=1.5,2022-01→2025-12,2022-01-01,2025-12-31,1.5,True,True,3,5,12,6,6,50.0,66.7,33.3,0.342,1.68,2.5,2,1.18,rr_grid
RR=2.0,2022-01→2025-12,2022-01-01,2025-12-31,2.0,True,True,3,5,12,6,6,41.7,50.0,33.3,0.271,1.46,2.0,2,0.94,rr_grid
RR=2.5,2022-01→2025-12,2022-01-01,2025-12-31,2.5,True,True,3,5,12,6,6,41.7,50.0,33.3,0.458,1.79,2.0,2,1.59,rr_grid
RR=3.0,2022-01→2025-12,2022-01-01,2025-12-31,3.0,True,True,3,5,11,5,6,27.3,40.0,16.7,0.091,1.12,5.0,5,0.3,rr_grid
RR=3.5,2022-01→2025-12,2022-01-01,2025-12-31,3.5,True,True,3,5,11,5,6,27.3,40.0,16.7,0.227,1.31,5.0,5,0.75,rr_grid
sess=ON bos=ON,2022-01→2025-12,2022-01-01,2025-12-31,2.0,True,True,3,5,12,6,6,41.7,50.0,33.3,0.271,1.46,2.0,2,0.94,filters
sess=ON bos=OFF,2022-01→2025-12,2022-01-01,2025-12-31,2.0,True,False,3,5,16,10,6,37.5,40.0,33.3,0.125,1.2,2.0,2,0.5,filters
sess=OFF bos=ON,2022-01→2025-12,2022-01-01,2025-12-31,2.0,False,True,3,5,27,14,13,44.4,50.0,38.5,0.269,1.48,3.0,3,1.4,filters
sess=OFF bos=OFF,2022-01→2025-12,2022-01-01,2025-12-31,2.0,False,False,3,5,33,19,14,42.4,36.8,50.0,0.193,1.34,5.0,4,1.11,filters
lb=2/3,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,2,3,60,40,20,55.0,52.5,60.0,0.635,2.4,6.0,6,4.92,lookback
lb=2/5,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,2,5,9,4,5,44.4,50.0,40.0,0.373,1.67,3.0,3,1.12,lookback
lb=3/3,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,3,3,58,42,16,46.6,45.2,50.0,0.378,1.71,5.8,5,2.88,lookback
lb=3/5,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,3,5,7,4,3,42.9,50.0,33.3,0.286,1.5,2.0,2,0.76,lookback
lb=3/7,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,3,7,64,53,11,34.4,32.1,45.5,0.051,1.08,11.0,8,0.41,lookback
lb=4/5,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,4,5,6,3,3,33.3,33.3,33.3,0.0,1.0,3.0,3,0.0,lookback
lb=4/7,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,4,7,56,47,9,33.9,34.0,33.3,0.032,1.05,12.0,10,0.24,lookback
lb=5/7,2023-01→2024-12,2023-01-01,2024-12-31,2.0,True,True,5,7,55,45,10,30.9,33.3,20.0,-0.031,0.95,10.0,7,-0.23,lookback
