entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2021-09-10T19:05:00+00:00,2021-09-10T19:35:00+00:00,SHORT,BOS,15532.068142721224,15478.725441348413,5334270.137281056,TP,26.671350686405276,53.34270137281055,15558.73949340763,15478.725441348413,2.0,False,,,2021-09-10T19:05:00+00:00,2021-09-10T19:35:00+00:00,15516.519,15539.829,15469.519,15488.287,True,True,none
2022-01-21T14:10:00+00:00,2022-01-21T14:30:00+00:00,SHORT,BOS,14698.319092638772,14762.14135663047,-6382226.399169849,SL,63.82226399169849,-63.82226399169849,14762.14135663047,14570.674564655375,-1.0,False,,,2022-01-21T14:10:00+00:00,2022-01-21T14:30:00+00:00,14682.769,14706.499,14718.219,14829.869,True,True,none
2022-01-21T14:50:00+00:00,2022-01-21T16:20:00+00:00,SHORT,BOS,14671.478335303384,14851.380678007892,-17990234.270450857,SL,179.90234270450856,-179.90234270450856,14851.380678007892,14311.673649894366,-1.0,False,,,2022-01-21T14:50:00+00:00,2022-01-21T16:20:00+00:00,14663.229,14750.999,14782.309,14870.579,True,True,none
2022-01-21T19:35:00+00:00,2022-01-24T10:20:00+00:00,SHORT,BOS,14591.412635633407,14353.55998210508,23785265.35283272,TP,118.9263267641636,237.8526535283272,14710.33896239757,14353.55998210508,2.0,False,,,2022-01-21T19:35:00+00:00,2022-01-24T10:20:00+00:00,14552.019,14610.989,14351.209,14395.289,True,True,none
2023-04-21T14:10:00+00:00,2023-04-21T14:25:00+00:00,SHORT,BOS,12939.028574869593,12993.554250292827,-5452567.542323413,SL,54.525675423234134,-54.525675423234134,12993.554250292827,12829.977224023125,-1.0,False,,,2023-04-21T14:10:00+00:00,2023-04-21T14:25:00+00:00,12922.509,12945.049,12970.549,12996.399,True,True,none
2023-06-23T13:50:00+00:00,2023-06-23T14:10:00+00:00,SHORT,BOS,14838.8868455699,14896.015096141822,-5712825.057192276,SL,57.12825057192276,-57.12825057192276,14896.015096141822,14724.630344426054,-1.0,False,,,2023-06-23T13:50:00+00:00,2023-06-23T14:10:00+00:00,14810.719,14845.599,14871.569,14899.879,True,True,none
2023-07-28T13:05:00+00:00,2023-07-28T15:20:00+00:00,LONG,BOS,15651.170000612494,15759.4789084952,10830890.788270699,TP,54.154453941353495,108.30890788270699,15597.01554667114,15759.4789084952,2.0,False,,,2023-07-28T13:05:00+00:00,2023-07-28T15:20:00+00:00,15642.579,15656.899,15749.119,15764.317,True,True,none
2023-07-28T16:55:00+00:00,2023-07-28T17:00:00+00:00,LONG,BOS,15742.71717009391,15742.275094749224,-44207.534468660015,SL_intrabar_conflict,0.44207534468660015,-0.44207534468660015,15742.275094749224,15743.601320783284,-1.0,False,,,2023-07-28T16:55:00+00:00,2023-07-28T17:00:00+00:00,15741.819,15772.299,15731.719,15747.799,True,True,none
2023-10-20T14:15:00+00:00,2023-10-23T09:05:00+00:00,SHORT,BOS,14698.590381200453,14505.029085412281,19356129.578817125,TP,96.78064789408563,193.56129578817126,14795.371029094538,14505.029085412281,2.0,False,,,2023-10-20T14:15:00+00:00,2023-10-23T09:05:00+00:00,14677.759,14709.589,14500.869,14517.819,True,True,none
2024-11-22T15:00:00+00:00,2024-11-22T15:10:00+00:00,LONG,BOS,20742.962025147524,20675.17363965264,-6778838.549488501,SL,67.788385494885,-67.788385494885,20675.17363965264,20878.538796137294,-1.0,False,,,2024-11-22T15:00:00+00:00,2024-11-22T15:10:00+00:00,20723.743,20775.776,20669.275,20713.665,True,True,none
2024-11-22T21:00:00+00:00,2024-11-24T23:00:00+00:00,LONG,BOS,20764.091438006813,20864.756948767907,10066551.076109318,TP,50.33275538054659,100.66551076109317,20713.758682626267,20864.756948767907,2.0,False,,,2024-11-22T21:00:00+00:00,2024-11-24T23:00:00+00:00,20763.176,20784.864,20857.053,20865.608,True,True,none
2025-01-17T16:45:00+00:00,2025-01-21T00:55:00+00:00,LONG,BOS,21438.891949360954,21313.56963274659,-12532231.661436526,SL,125.32231661436526,-125.32231661436526,21313.56963274659,21689.536582589684,-1.0,False,,,2025-01-17T16:45:00+00:00,2025-01-21T00:55:00+00:00,21430.299,21452.889,21304.51,21428.097,True,True,none
2025-04-11T17:15:00+00:00,2025-04-13T22:05:00+00:00,LONG,BOS,18523.875152256147,18900.91,37703484.77438529,TP,167.29783346127078,377.0348477438529,18356.577318794876,18858.47081917869,2.2536744197057157,False,,,2025-04-11T17:15:00+00:00,2025-04-13T22:05:00+00:00,18495.789,18590.776,18900.91,18929.199,True,True,none
