tp,ema,or_len,body,trades,tpy,wr,er,pf,mdd,avg_r,std_r,mcl
1.9,60,20,0.1,375,75.0,51.5,0.162,1.39,7.6,0.1618,1.1088,6
1.9,40,20,0.1,381,76.2,51.4,0.161,1.39,7.6,0.1606,1.1083,7
1.9,50,20,0.1,376,75.2,51.3,0.161,1.39,7.6,0.161,1.1091,7
1.9,40,20,0.15,360,72.0,51.7,0.16,1.39,9.6,0.16,1.1048,6
1.9,50,20,0.05,393,78.6,51.1,0.16,1.38,8.0,0.1598,1.1159,8
1.9,40,20,0.05,398,79.6,51.3,0.159,1.38,8.3,0.1595,1.115,8
1.9,60,20,0.05,393,78.6,51.1,0.158,1.37,8.0,0.1577,1.1157,7
1.9,50,15,0.15,349,69.8,49.3,0.158,1.35,9.1,0.1583,1.1709,7
1.9,50,20,0.15,356,71.2,51.4,0.158,1.38,8.2,0.1575,1.1054,6
1.9,60,20,0.15,355,71.0,51.5,0.158,1.38,8.2,0.1584,1.105,5
1.8,60,20,0.1,375,75.0,51.5,0.153,1.37,7.9,0.1529,1.0912,6
1.9,60,15,0.15,345,69.0,49.0,0.153,1.34,10.3,0.1531,1.1701,8
1.7,60,20,0.1,375,75.0,51.7,0.152,1.37,8.7,0.1524,1.0759,6
1.9,50,15,0.1,365,73.0,48.8,0.152,1.33,10.0,0.1516,1.1694,8
1.8,50,20,0.1,376,75.2,51.3,0.152,1.37,7.9,0.1517,1.0911,7
1.8,40,20,0.15,360,72.0,51.7,0.152,1.37,9.8,0.1515,1.0877,6
1.7,40,20,0.15,360,72.0,51.9,0.151,1.37,8.9,0.1507,1.0716,6
1.8,40,20,0.1,381,76.2,51.4,0.151,1.37,7.9,0.1512,1.0901,7
1.7,60,20,0.15,355,71.0,51.8,0.151,1.37,7.9,0.1513,1.0745,5
1.9,40,15,0.15,357,71.4,49.0,0.151,1.33,9.1,0.1507,1.1675,7
1.8,60,20,0.15,355,71.0,51.5,0.15,1.36,8.4,0.1504,1.0885,5
1.8,50,20,0.05,393,78.6,51.1,0.15,1.36,8.1,0.15,1.0972,8
1.7,50,20,0.1,376,75.2,51.6,0.15,1.36,8.7,0.1499,1.0742,7
1.7,50,20,0.15,356,71.2,51.7,0.149,1.36,7.9,0.1487,1.0726,6
1.8,50,20,0.15,356,71.2,51.4,0.149,1.36,8.4,0.1492,1.0885,6
1.7,40,20,0.1,381,76.2,51.7,0.149,1.36,8.5,0.1492,1.073,7
1.8,40,20,0.05,398,79.6,51.3,0.149,1.36,8.4,0.1495,1.0962,8
1.8,60,20,0.05,393,78.6,51.1,0.148,1.35,8.1,0.1481,1.0974,7
1.7,60,20,0.05,393,78.6,51.4,0.147,1.35,8.2,0.1466,1.0814,7
1.9,60,15,0.1,361,72.2,48.5,0.147,1.32,10.3,0.1465,1.1686,9
1.7,50,20,0.05,393,78.6,51.4,0.147,1.35,8.2,0.1472,1.0796,8
1.7,40,20,0.05,398,79.6,51.5,0.146,1.35,8.5,0.1465,1.0784,8
1.8,50,15,0.1,365,73.0,49.0,0.146,1.32,10.1,0.1458,1.1492,8
1.8,50,15,0.15,349,69.8,49.3,0.145,1.32,9.2,0.1451,1.1493,7
1.9,40,15,0.1,373,74.6,48.5,0.144,1.32,10.0,0.1444,1.1662,8
1.9,50,15,0.05,383,76.6,48.6,0.142,1.31,11.0,0.1415,1.167,8
1.8,60,15,0.1,361,72.2,48.8,0.141,1.31,10.3,0.141,1.1485,9
1.8,60,15,0.15,345,69.0,49.0,0.14,1.31,10.3,0.1401,1.1486,8
1.9,60,15,0.05,381,76.2,48.3,0.138,1.3,11.0,0.1383,1.1681,9
1.8,40,15,0.1,373,74.6,48.8,0.138,1.31,10.1,0.1385,1.1459,8
1.8,40,15,0.15,357,71.4,49.0,0.137,1.3,9.2,0.1375,1.1458,7
1.7,50,15,0.1,365,73.0,49.0,0.137,1.3,10.2,0.137,1.1316,8
1.7,50,15,0.15,349,69.8,49.3,0.136,1.3,9.3,0.1358,1.131,7
1.9,40,15,0.05,391,78.2,48.3,0.135,1.29,11.0,0.1349,1.1639,8
1.8,50,15,0.05,383,76.6,48.8,0.135,1.3,11.1,0.1353,1.1465,8
1.8,60,15,0.05,381,76.2,48.6,0.132,1.29,11.1,0.132,1.1474,9
1.7,40,15,0.1,373,74.6,48.8,0.13,1.29,10.2,0.1296,1.1281,8
1.8,40,15,0.05,391,78.2,48.6,0.129,1.28,11.1,0.1285,1.1433,8
1.7,40,15,0.15,357,71.4,49.0,0.128,1.28,9.3,0.1281,1.1274,7
1.7,60,15,0.1,361,72.2,48.8,0.128,1.28,10.3,0.1281,1.128,9
1.7,60,15,0.15,345,69.0,49.0,0.126,1.28,10.3,0.1265,1.1273,8
1.7,50,15,0.05,383,76.6,48.8,0.126,1.28,11.2,0.1261,1.1284,8
1.7,60,15,0.05,381,76.2,48.6,0.119,1.26,11.2,0.1187,1.1264,9
1.7,40,15,0.05,391,78.2,48.6,0.119,1.26,11.2,0.1193,1.1252,8
1.9,60,10,0.05,397,79.4,42.6,0.06,1.11,16.8,0.0595,1.2268,19
1.9,50,10,0.05,397,79.4,42.6,0.057,1.11,17.8,0.0572,1.2251,20
1.8,60,10,0.05,397,79.4,43.1,0.055,1.1,16.8,0.0554,1.2052,19
1.9,60,10,0.15,363,72.6,42.7,0.054,1.1,14.8,0.0541,1.2237,17
1.8,50,10,0.05,397,79.4,43.1,0.053,1.1,17.8,0.0533,1.2038,20
1.9,50,10,0.15,363,72.6,42.7,0.052,1.1,15.8,0.0515,1.2218,18
1.8,60,10,0.15,363,72.6,43.3,0.052,1.1,14.8,0.0521,1.2036,17
1.8,50,10,0.15,363,72.6,43.3,0.05,1.09,15.8,0.0498,1.2021,18
1.9,60,10,0.1,380,76.0,42.4,0.05,1.09,15.8,0.0499,1.221,18
1.9,50,10,0.1,380,76.0,42.4,0.047,1.09,16.8,0.0475,1.2192,19
1.7,50,10,0.05,397,79.4,43.3,0.047,1.09,16.0,0.0468,1.1814,14
1.8,60,10,0.1,380,76.0,42.9,0.047,1.09,15.8,0.0472,1.2006,18
1.7,60,10,0.05,397,79.4,43.3,0.045,1.08,15.3,0.0448,1.1796,13
1.8,50,10,0.1,380,76.0,42.9,0.045,1.08,16.8,0.045,1.1991,19
1.7,50,10,0.15,363,72.6,43.5,0.044,1.08,15.3,0.0438,1.1796,12
1.9,40,10,0.05,402,80.4,42.3,0.043,1.08,18.8,0.0435,1.2195,21
1.7,60,10,0.15,363,72.6,43.5,0.042,1.08,14.6,0.0416,1.1775,12
1.8,40,10,0.05,402,80.4,42.8,0.04,1.07,18.8,0.0399,1.1986,21
1.7,50,10,0.1,380,76.0,43.2,0.04,1.08,17.3,0.0398,1.1779,13
1.7,60,10,0.1,380,76.0,43.2,0.038,1.07,16.6,0.0376,1.1759,12
1.9,40,10,0.15,368,73.6,42.4,0.037,1.07,15.8,0.0367,1.2156,18
1.9,40,10,0.1,384,76.8,42.2,0.036,1.07,17.0,0.036,1.2137,19
1.8,40,10,0.15,368,73.6,42.9,0.035,1.07,15.9,0.0352,1.1964,18
1.7,40,10,0.05,402,80.4,43.0,0.034,1.06,17.9,0.0337,1.1768,15
1.8,40,10,0.1,384,76.8,42.7,0.034,1.06,18.1,0.0338,1.1941,19
1.7,40,10,0.15,368,73.6,43.2,0.03,1.06,17.2,0.0296,1.1745,12
1.7,40,10,0.1,384,76.8,43.0,0.029,1.05,19.4,0.0289,1.1733,13
