rank,sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,liquidity_level_atr_mult,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
1,0.75,1.3,0.75,20,6.0,False,50,18,38.89,0.1667,1.2727,3.0,22,45.45,0.3636,1.6667,4.0,,False,2.7181153376207545,True
2,0.75,1.3,0.55,20,2.0,False,50,15,46.67,0.4,1.75,2.0,20,45.0,0.35,1.6364,3.0,,False,2.685934878122122,True
3,0.75,1.3,0.75,20,10.0,False,50,22,36.36,0.0909,1.1429,4.0,25,44.0,0.32,1.5714,4.0,1.3762153376207542,True,2.5081766952966364,True
4,0.75,1.0,0.55,12,10.0,False,50,29,31.03,-0.069,0.9,9.0,29,41.38,0.2414,1.4118,4.0,,False,2.133591611288853,True
5,0.75,1.3,0.75,30,10.0,False,50,26,30.77,-0.0769,0.8889,5.0,29,41.38,0.2414,1.4118,4.0,,False,2.133591611288853,True
6,0.75,1.0,0.75,20,10.0,False,50,25,36.0,0.08,1.125,6.0,27,40.74,0.2222,1.375,3.0,1.241776695296637,True,2.0788806152629515,True
7,0.5,1.3,0.55,20,2.0,False,50,14,35.71,0.0714,1.1111,5.0,22,40.91,0.2273,1.3846,3.0,,False,2.0771153376207545,True
8,0.75,1.0,0.55,20,2.0,False,50,19,42.11,0.2632,1.4545,3.0,22,40.91,0.2273,1.3846,3.0,,False,2.0771153376207545,True
9,0.75,1.3,0.55,30,2.0,False,50,19,42.11,0.2632,1.4545,3.0,22,40.91,0.2273,1.3846,3.0,,False,2.0771153376207545,True
10,0.75,1.0,0.55,20,6.0,False,50,28,32.14,-0.0357,0.9474,9.0,37,40.54,0.2162,1.3636,4.0,,False,2.0494036117036556,True
11,0.75,1.3,0.55,20,6.0,False,50,23,34.78,0.0435,1.0667,6.0,32,40.62,0.2188,1.3684,4.0,1.0632603241567598,True,2.0375318358777994,True
12,0.75,1.0,0.55,12,6.0,False,50,26,34.62,0.0385,1.0588,8.0,27,40.74,0.2222,1.375,4.0,0.9563539119007143,True,2.0288806152629517,True
13,0.75,1.0,0.55,20,10.0,False,50,32,28.12,-0.1562,0.7826,10.0,40,40.0,0.2,1.3333,4.0,,False,1.9847866859365872,True
14,0.75,1.0,0.75,20,6.0,False,50,22,40.91,0.2273,1.3846,5.0,25,40.0,0.2,1.3333,3.0,1.9771153376207542,True,1.960076695296637,True
15,0.75,1.3,0.75,30,6.0,False,50,20,35.0,0.05,1.0769,4.0,25,40.0,0.2,1.3333,4.0,1.176434878122122,True,1.910076695296637,True
